nim,fakultas_prodi,smt,ips_smt1,ips_smt2,golongan_ukt,status_cuti,kode_wilayah,asal_daerah
1912021183,FBS/Bahasa Asing,2,3.05,2.94,6,0,3,"Kec. Melaya, Kab. Jembrana, Prov. Bali"
1912021218,FBS/Bahasa Asing,2,1.1,1.14,4,1,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1912031019,FBS/Seni dan Desain,2,3.43,3.23,1,0,3,"Kec. Kintamani, Kab. Bangli, Prov. Bali"
1912031024,FBS/Seni dan Desain,2,3.15,1.86,3,1,3,"Kec. Praya Tengah, Kab. Lombok Tengah, Prov. Nusa Tenggara Barat"
1912051005,FBS/Bahasa dan Sastra Indonesia dan Daerah,2,3.82,3.69,3,0,3,"Kec. Penebel, Kab. Tabanan, Prov. Bali"
1912061030,FBS/Bahasa Asing,2,3.87,3.85,5,0,3,"Kec. Cigasong, Kab. Majalengka, Prov. Jawa Barat"
1912061033,FBS/Bahasa Asing,2,0.45,0.0,6,1,3,"Kec. Selemadeg, Kab. Tabanan, Prov. Bali"
1912061041,FBS/Bahasa Asing,2,2.53,3.0,6,1,3,"Kec. Mengwi, Kab. Badung, Prov. Bali"
1912061043,FBS/Bahasa Asing,2,2.39,3.41,6,0,3,"Kec. Ciracas, Kab. Jakarta Timur, Prov. Dki Jakarta"
1913011020,FMIPA/Matematika,2,2.3,0.0,1,0,3,"Kec. Tembuku, Kab. Bangli, Prov. Bali"
1913011053,FMIPA/Matematika,2,0.0,0.0,2,0,3,"Kec. Abiansemal, Kab. Badung, Prov. Bali"
1913011054,FMIPA/Matematika,2,3.3,0.0,4,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1913011062,FMIPA/Matematika,2,2.48,3.35,7,1,3,"Kec. Nusapenida, Kab. Klungkung, Prov. Bali"
1913011067,FMIPA/Matematika,2,2.67,3.36,6,0,3,"Kec. Jembrana, Kab. Jembrana, Prov. Bali"
1913011070,FMIPA/Matematika,2,3.05,3.7,3,1,2,"Kec. Banjar, Kab. Buleleng, Prov. Bali"
1913021011,FMIPA/Fisika dan Pengajaran IPA,2,3.2,3.44,1,1,3,"Kec. Aikmel, Kab. Lombok Timur, Prov. Nusa Tenggara Barat"
1913021025,FMIPA/Fisika dan Pengajaran IPA,2,2.94,2.04,2,0,3,"Kec. Siantar Marihat, Kab. Pematang Siantar, Prov. Sumatera Utara"
1913031013,FMIPA/Kimia,2,3.41,3.48,1,0,3,"Kec. Srono, Kab. Banyuwangi, Prov. Jawa Timur"
1913041006,FMIPA/Biologi dan Perikanan Kelautan,2,3.82,3.63,3,0,3,"Kec. Kediri, Kab. Tabanan, Prov. Bali"
1913041016,FMIPA/Biologi dan Perikanan Kelautan,2,0.0,0.0,1,0,3,"Kec. Sukawati, Kab. Gianyar, Prov. Bali"
1913041017,FMIPA/Biologi dan Perikanan Kelautan,2,0.0,3.71,2,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1913071038,FMIPA/Fisika dan Pengajaran IPA,2,2.94,2.75,6,0,3,"Kec. Kali Deres, Kab. Jakarta Barat, Prov. Dki Jakarta"
1913071041,FMIPA/Fisika dan Pengajaran IPA,2,0.15,0.14,7,0,3,"Kec. Negara, Kab. Jembrana, Prov. Bali"
1913071045,FMIPA/Fisika dan Pengajaran IPA,2,3.43,3.28,7,0,3,"Kec. Karangasem, Kab. Karang Asem, Prov. Bali"
1913091002,FMIPA/Biologi dan Perikanan Kelautan,2,3.31,2.43,7,0,2,"Kec. Seririt, Kab. Buleleng, Prov. Bali"
1913091004,FMIPA/Biologi dan Perikanan Kelautan,2,0.0,0.0,1,0,3,"Kec. Sarirejo, Kab. Lamongan, Prov. Jawa Timur"
1913101011,FMIPA/Matematika,2,2.42,1.24,5,0,3,"Kec. Mendoyo, Kab. Jembrana, Prov. Bali"
1913101012,FMIPA/Matematika,2,3.49,3.17,7,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1913111007,FMIPA/Biologi dan Perikanan Kelautan,2,0.0,0.0,1,0,1,"Kec. Buleleng, Kab. Buleleng, Prov. Bali"
1913111011,FMIPA/Biologi dan Perikanan Kelautan,2,2.84,2.33,7,0,3,"Kec. Karangasem, Kab. Karang Asem, Prov. Bali"
1913111016,FMIPA/Biologi dan Perikanan Kelautan,2,3.19,3.14,1,0,3,"Kec. Lembar, Kab. Lombok Barat, Prov. Nusa Tenggara Barat"
